Year,AVERAGE of BOD_Avg,AVERAGE of DO_Avg,,,,
"JAI BHARALI RIVER NEAR BISWANATH CHARALI, SONITPUR",20.15,,,,,
"GODAVARI RIVER AT D/S OF PAITHAN AT PATHEGAON BRIDGE, VILLAGE PATHEGAON, TALUKA PAITHAN, DISTRICT AURANGABAD.",20.1,,,,,
"BANAS AT BISULPUR DAM, TONK, RAJASTHAN",20.1,,,,,
"DISANG AT GUNDAMGHAT, ASSAM",20.09,,,,,
TAWI AT SHETALI LIFTING POINT NAGROTA,20,,,,,
RIVER UMTREW AT BYRNIHAT EAST,20,,,,,
"NANDAUR D/S SITARGANJ INDUSTRIAL AREA, US NAGAR",20,,,,,
GODAVARI AT RAJAHMUNDRY U/S,20,,,,,
"YAMUNA AT U/S DAK PATTHAR, UTTAR PARDESH",19.95,,,,,
SATLUJ 1 KM. D/S OF ZENITH,19.8,,,,,
GODAVARI RIVER NEAR TAPOVAN.,19.8,,,,,
ARKAVATHI AT D/S OF KANAKAPURA TOWN,19.725,,,,,
BHALLA RIVER AT LOHIA BRIDGE D/S KASHIPUR,19.66666667,,,,,
RIVER KHUGA (TUITHA) DAM ON KHUGA RIVER,19.625,,,,,
BHALLA RIVER U/S KASHIPUR,19.56666667,,,,,
"DWARKA , D/S OF TARAPITH, AT SATIGHAT",19.5,,,,,
"RIVER DAHA D/S AT SASAMUSA, GOPALGANJ",19.35,,,,,
"TUNGHABHADRA AT HONNALI BRIDGE, KARNATAKA",19.31666667,,,,,
"TUNGABHADRA AT JACKWELL POINT, KARNATAKA",19.31666667,,,,,
SANKH AT TIGRA RESERVOIR,19.3,,,,,
"RIVER RANGAVALI AT D/S OF NAVAPUR NEAR RANGAVALI BRIDGE, VILLAGE- NAVAPUR, TALUKA- NAVAPUR, DISTRICT- NANDURBAR.",19.2,,,,,
RIVER GHATAPRABHA AT W.A. POINT TO GOKAK TOWN,19.15,,,,,
"MAHI AT RANISINGH VILLAGE, RATLAM, UJJAIN",19.15,,,,,
"TUNGHABHADRA AT HARALAHALLI BRIDGE, KARNATAKA",19.13333333,,,,,
RIVER CAUVERY D/S OF KR NAGAR BRIDGE,19.11666667,,,,,
"RIVER UMKHRAH AT MAWPDANG, MAWLAI",19,,,,,
"MAHI AT VASAD, GUJARAT",19,,,,,
YAMUNA U/S OF LAKHWAR DAM,18.9,,,,,
"INDRAYANI RIVER AT U/S OF MOSHIGAON, HAWELI, PUNE.",18.9,,,,,
"RIVER MALAPRABHA AT WATER ABSTRACTION POINT TO HUBLI, DHARWAD",18.875,,,,,
"SONE AT OBRA, AURANGABAD",18.75,,,,,
"BRAHMPUTRA RIVER NEAR WATER INTAKE POINT AT KACHARIGHAT, PANBAZAR, GUWAHATI, ASSAM",18.725,,,,,
"BASANTER AT SAMBA (AT CHAK MANGA GUJJAR BASANTAR) D/S(R.H.S.), JandK",18.65,,,,,
GODAVARI AT RAJAMUNDRY U/S OF NALLA CHANNEL,18.61666667,,,,,
RIVER GODAVARI AT BASER(BANGALORE),18.525,,,,,
"GANGA AT BAHARAMPORE, MURSHIDABAD, WEST BENGAL",18.5,,,,,
"VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT, TAMILNADU",18.325,,,,,
DIKHOW RIVER AT DIKHOW BRIDGE,18.25,,,,,
"RIVER GIRI D/S CEMENT CORPORATION OF INDIA, RAJBAN AT BANGRAN BRIDGE",18.2,,,,,
"SHEONATH AT RAJNANDGAON, D/S AT MOHAD, RAJNANDGAON",18.19,,,,,
RIVER KRISHNA AT D/S OF DEVASAGAR BDG.,18.15,,,,,
