Year,AVERAGE of BOD_Avg,AVERAGE of DO_Avg,,,,
"TUNGABHADRA AT U/S OF HPF, KARNATAKA",15.91666667,,,,,
"RIVER WAINGANGA AT CHHAPARA, NEAR ROAD BRIDGE AFTER MIXING MOTI and CHAMARIYA NALLA, JABALPUR",15.9,,,,,
"RIVER GODAVARI AT JALNA INTAKE WATER PUMP HOUSE, VILLAGE- SHAHABAD, TALUKA- AMBAD, DISTRICT- JALNA.",15.875,,,,,
"DIHING RIVER AT MIAO,",15.76666667,,,,,
GODAVARI AT RAJAMUNDRY D/S OF NALLA CHANNEL,15.7,,,,,
KUSEI BEFORE JOINING WITH BAITARANI RIVER AT ANANDPUR,15.6875,,,,,
"RIVER NARMADA, BARMANGHAT, 100 MDS OF MAINGHAT",15.65,,,,,
RIVER UMIAM MAWPHLANG AT MAWPHLANG,15.6,,,,,
SONE RIVER NEAR BANZARI,15.525,,,,,
UPPER GANGA D/S ROORKEE,15.5,,,,,
RIVER CAUVERY AT WATER SUPPLY INTAKE POINT TO MANDYA TOWN,15.46666667,,,,,
"BRAHMPUTRA RIVER AT SUALKUCHI, DIST. KAMRUP, ASSAM",15.41,,,,,
RIVER JHELUM AT PANTHACHOWK,15.35,,,,,
"RIVER CAUVERY AT SRI RANGAPATTANNA, D/S OF ROAD BDG.",15.25,,,,,
RIVER SUTLEJ D/S CONFLUENCES OF RIVER TIDONG,15.15,,,,,
"KALI EAST AT KHARKHODA PARIKSHIT GARH ROAD, VILL. KOL, MEERUT",15.15,,,,,
"WENA RIVER AT D/S OF MOHATA MILLS, NR RD BRG ON HINGANGHAT-WADNER ROAD",15.1,,,,,
YAMUNA AT HATHNIKUND HARYANA,15.03333333,,,,,
"BAGMATI RIVER AT DARBANGA, SAMASTIPUR ROAD BRIDGE,",15.01666667,,,,,
RIVER GIRI B/C WITH ASHWANI KHAD U/S OF WSS YASHWANT NAGAR,15,,,,,
MORNA RIVER D/S OF RAILWAY BRIDGE AKOLA,15,,,,,
"MANJEERA RIVER - NEAR GANAPATHI SUGARS , MEDAK DIST., A.P",15,,,,,
KABBANI D/S SARAGUR VILLAGE,15,,,,,
"GODAVARI RIVER AT RAMKUND, VILLAGE PANCHAVATI, TALUKA NASHIK, DISTRICT NASHIK.",15,,,,,
U/S HARBORA RIVER,14.9875,,,,,
SUBARNAREKHA AT MURI ROAD BRIDGE,14.98333333,,,,,
"TONS RIVER, H.P",14.9,,,,,
"KRISHNA RIVER AT KRISHNA VENNA SANGAM MAHULI , VILLAGE MAHULI,TALUKA MAHULI, DISTRICT SATARA.",14.75,,,,,
"BETWA AT SUKMA DUKMA DAM, JHANSI (U.P.)",14.725,,,,,
"KABBANI AT MUTHANKARA, KERALA",14.7,,,,,
"CAUVERY AT BANNUR BRIDGE,",14.65,,,,,
SONE RIVER AT NASIRIGANJ DAM,14.6,,,,,
HINDON D/S GHAZIABAD,14.6,,,,,
SUBARNAREKHA AT JAMSHEDPUR,14.57,,,,,
"RIVER KABINI AT BATHING GHAT, NANJANAGUD",14.56666667,,,,,
"MOR RIVER NEAR PADALASHE, VILLAGE PADALASHE,TALUKA JALGAON, DISTRICT JALGAON.",14.5,,,,,
RIVER KRISHNA AT TINTINI BRIDGE,14.45,,,,,
"RIVER GODAVARI AT D/S OF PAITHAN AT PATHEGAON BRIDGE, VILLAGE- PATHEGAON, TALUKA- PAITHAN, DISTRICT- AURANGABAD.",14.425,,,,,
"GODAVARI RIVER AT RAHER, VILLAGE RAHER, TALUKA NAYAGAON, DISTRICT NANDED.",14.35,,,,,
"RUPNARAYAN BEFORE CONFL. TO RIVER GANGA NEAR GEONKHALI,MEDINIPORE",14.25,,,,,
"DHOUS AT MADHUVAPUR, MADHUBANI",14.225,,,,,
"RIVER KALI SINDH AT ANICUT OF M/S CFCL GADEPAN, KOTA, RAJASTHAN",14.21666667,,,,,
"TUNGABHADRA AT KURNOOL U/s, BAVAPURAM",14.2,,,,,
"RIVER BHAWA KHAD AT RESERVIOR SITE OF ALLIAN DUHANGAN HEP,PRINI,MANALI",14.2,,,,,
"CAUVERY AT PETTAIVAITHALAI, TRICHY, TAMILNADU",14.2,,,,,
RAVI AT AT D/S CHAMERA III HEP,14.05,,,,,
RIVER CAUVERY AT WATER SUPPLY INTAKE POINT AT KOLLEGALA DASANAPURA,14,,,,,
"GANDAK AT KONHARA GHAT, VAISHALI",13.975,,,,,
RIVER BEAS AT PANDOH DAM,13.95,,,,,
"BANGANGA (IN FRONT OF PONY SHED NEAR REASI BRIDGE)KATRA,JandK",13.95,,,,,
"YAMUNA AT U/S DAK PATHER, UTTARAKHAND",13.9,,,,,
"DHANSIRI AT NUTON BASTI, NAGALAND",13.75,,,,,
"RIVER SABARMATI AT HANSAOL BRIDGE, GUJARAT",13.7,,,,,
"CAUVERY AT URACHIKOTTAI, ERODE",13.7,,,,,
"BAGHWATI NAGAR (2KM D/S TAWI BRIDGE), JandK",13.7,,,,,
SUBARNAREKHA AT HATIA DAM,13.66666667,,,,,
"R.SONE AT ORIGINE AMARKANTAK, M.P",13.65,,,,,
"RIVER SERLUI D/S, SERLUI 'B' HEPP DAM, BILKHAWTHLIR, KOLASIB DIST.",13.575,,,,,
RIVER ANDHRA B/C TO RIVER PABBAR AT CHIRGAON,13.5,,,,,
"KRISHNA RIVER AT KSHETRA MAHULI, VILLAGE KSHETRA MAHULI,TALUKA MAHULI, DISTRICT SATARA.",13.5,,,,,
"GODAVARI RIVER AT KAPILA GODAVARI CONFLUENCE POINT, VILLAGE TAPOVAN, TALUKA NASHIK, DISTRICT NASHIK.",13.5,,,,,
BEKI RIVER AT NH-37 CROSSING AT BARPETA ROAD,13.48333333,,,,,
RIVER CAUVERY AT SATHYAGALAM BRIDGE,13.4,,,,,
RIVER GARGA NEAR TELMUCHO BRIDGE,13.36666667,,,,,
"YAMUNA AT WAZIRABAD, DELHI",13.3,,,,,
"BHIMA RIVER AT TAKLI NEAR KARNATAKA BORDER, VILLAGE TAKALI, TALUKA SOUTH SOLAPUR, DISTRICT SOLAPUR.",13.3,,,,,
RIVER KRISHNA - ANKALI BRIDGE ALONG CHIKKODI KAGWAD ROAD,13.28333333,,,,,
RIVER MALAPRABHA AT D/S OF AIHOLE TOWN,13.25,,,,,
"DHANSIRI AT FULL NAGARJAN, NAGALAND",13.25,,,,,
BEAS AT U/S PANDON DAM,13.25,,,,,
U/S MANUSMAR RIVER (RIGA),13.2375,,,,,
"GHOD RIVER AT SHIRUR, VILLAGE SHIRUR,TALUKA SHIRUR,DISTRICT PUNE.",13.2,,,,,
RAVI AT MADHOPUR (PUNJAB),13.15,,,,,
"JAMUNI AT BARIYAGHAT U/S NEAR INTAKE POINT, TIKAMG",13,,,,,
"CHAMBAL AT KOTA D/S (2 KM. FROM CITY),RAJASTHAN",13,,,,,
CAUVERY AT NAPOKULU BDG (D/S),12.95,,,,,
"RIVER BANGANGA (BATHING GHAT), KATRA,",12.9,,,,,
"WARDHA RIVER AT U/S OF ERAI RIVER, HADASTI, CHANDRAPUR.",12.85,,,,,
"BRAHMPUTRA RIVER AT DHENUKHAPAHAR, ASSAM",12.84,,,,,
"CHUNT KOL (MAULANA AZAD BRIDGE), JandK",12.8,,,,,
KOLONG RIVER AT MARIGAON,12.78333333,,,,,
"CAUVERY AT PETTAIVAITHALAI, TRICHY",12.775,,,,,
"GODAVARI RIVER AT JALNA INTAKE WATER PUMP HOUSE, VILLAGE SHAHABAD, TALUKA AMBAD, DISTRICT JALNA.",12.75,,,,,
"RIVER RIVER WAINGANGA AT CHHAPARA , SEONI, NEAR WSS INTAKE POINT",12.7,,,,,
CHAMBAL D/S NAGDA,12.7,,,,,
"GODAVARI AT RAMAGUNDAM U/S , KARIMNAGAR",12.6,,,,,
"RIVER TAPI AT RANDER BRIDGE, SURATRANDER,SURAT",12.5,,,,,
"RIVER KIM AT SAHOL BRIDGE, OLPAD HANSOT ROAD, DIST",12.5,,,,,
"RIVER KANOTA DAM VILLAGE SUMEL, TEHSIL- BASSI",12.5,,,,,
WATER SUPPLY INTAKE POINT TO SRIRANGAPATNA TOWN,12.4,,,,,
"RIVER TITUR AT D/S OF CHALISGAON, VILLAGE. CHALISGAON,TALUKA. JALGAON,DISTRICT. JALGAON.",12.4,,,,,
"KAPILI RIVER AT DHARMTUL BRIDGE, NH31, NAGAON, ASSAM",12.4,,,,,
"CHADRA GAON VIEW POINT(4 KM U/S FROM SPOT), JandK",12.4,,,,,
ASHWANI RIVER AT SADHUPUL (U/S OF BRIDGE TOWARDS CHAIL.),12.4,,,,,
"THIRUMANIMUTHAR AT SALEM, D/S OF SAGO and TEXTILE DYING INDUSTRIES, TAMILNADU",12.3625,,,,,
RIVER BEAS AT U/S KULLU,12.35,,,,,
"PANCHAGANGA RIVER AT D/S OF KOLHAPUR TOWN AT GANDHI NAGAR NEAR NH4 BRIDGE AND MIDC, VILLAGE UCHEGAON, TALUKA KOLHAPUR, DISTRICT KOLHAPUR.",12.3,,,,,
"GODAVARI RIVER AT LATUR WATER INTAKE NEAR PUMP HOUSE. VILLAGE DHAMEGAON, TALUKA KALUMB, DISTRICT OSMANABAD.",12.3,,,,,
"BRAHAMPUTRA AT DIBRUGARH, ASSAM",12.275,,,,,
"RIVER SIKRAHNA LAURIA-NARKATIAGANJ ROAD BRIDGE, WEST CHAMPARAN",12.26666667,,,,,
RAMGANGA B/C AT KANNAUJ,12.25,,,,,
"SEONATH AT SHIMGA AFTER CONFL. WITH R. KHAROON,CHHATISSGARH",12.2,,,,,
RIVER KHARSANG BEFORE CONFLUENCE WITH BURIDIHING N,12.2,,,,,
"RIVER HUNDRI, JOHARPUR(V), NEAR TEMPLE, KURNOOL, A",12.2,,,,,
MAHANADI AT MUNDALI (WATER INTAKE POINT OF BHUBANESWAR CITY),12.175,,,,,
"SAMBA (BELOW NH1A BRIDGE), BASANTAR US (R.H.S)",12.15,,,,,
TALCHER FD/S,12.125,,,,,
"TUNGABHADRA AT D/S OF GANGAWATHI,",12.1,,,,,
"PENGANGA RIVER NEAR WATER SUPPLY SCHEME OF UMARKHED M.C., VILLAGE BELKHED,TALUKA UMARKHED, DISTRICT YAVATMAL.",12.1,,,,,
"RIVER NARMADA AT DOWN-STREAM AFTER CONFLUENCE OF RIVER TAWA NEAR RAMNAGAR,DISTRICT SEHORE (M.P.)",12.075,,,,,
KAMALA RIVER AT JAYNAGAR,12.06,,,,,
GANGA AT BAHARAMPORE WEST BENGAL,12.05,,,,,
RIVER KABINI AT WATER SUPPLY INTAKE POINT TO T. NARASIPURA,12.03333333,,,,,
"U/S OF KATHAKAL AT MATIJURI, DIST. HAILAKANDI, ASS",12,,,,,
"RIVER GAMBHIRI NEAR OLD BUS STAND, CHITTORGARH",12,,,,,
MANER AT WARANGAL U/S,12,,,,,
DIKHOW RIVER AT NAGINI MORA (INTER-STATE BOUNDARIE,12,,,,,
ASHWANI KHAD U/S OF WEIR SITE OF WTP NEAR ASHWANI BRIDGE,12,,,,,
RIVER KRISHNA AT DEODURGA (BANGALORE),11.98333333,,,,,
"RIVER JOHILA NEAR NAROJABAD NEAR UMARIA ROAD BRIDGE, M.P",11.95,,,,,
RIVER LAKSHMANTIRTHA AT D/S OF HUNSUR TOWN,11.9,,,,,
"R.SONE AT DEVLOAD OUT LET OF BANSAGAR DAM, M.P",11.9,,,,,
JAL PATAN MANDIR AFTER MEETING WITH MAIN DRAIN,11.9,,,,,
"GAWKADAL, SRG (SHERGHARI, SRG), JandK",11.9,,,,,
RIVER TUNGABHADRA AT ULENOOR,11.875,,,,,
RIVER TUNGABHADRA AT NEW BRIDGE,11.875,,,,,
"RAVI AT U/S CHAMBA, H.P.",11.875,,,,,
"NIRA RIVER AT U/S OF JUBILANT ORGANOSIS, NIRA(DATTAGHAT), BARAMATI, PUNE",11.85,,,,,
"GODAVARI RIVER AT KAPILA GODAVARI CONFLUENCE POINT, TAPOVAN.",11.85,,,,,
RIVER NONGAL AT NANGALBIBRA,11.75,,,,,
"GANGA AT SERAMPORE, HOOGHLY,WEST BENGAL",11.725,,,,,
GOLA RIVER AT HALDWANI,11.72142857,,,,,
RIVER DEVAK UDHAMPUR(NEAR SHIV MANDIRD/S)L.H.S.,11.6,,,,,
ARRAHCHHAPRA ROAD BRIDGE (KOILWER BANURA CHHAPRA),11.6,,,,,
UPPER GANGA RIVER D/S ROORKEE,11.52,,,,,
SHETALI LIFTING POINT NAGROTA(5KM U/S TAWI BRIDGE),11.5,,,,,
RIVER UMSHYRPI AT RISA COLONY,11.5,,,,,
LAKKAR GHAT- OXIDATION PONDS,11.5,,,,,
"KRISHNA AT GADWAL BRIDGE, A.P.",11.46666667,,,,,
"KRISHNA AT KRISHNA BDG, KARAD",11.45,,,,,
GANGA AT ALLAHABAD D/S (SANGAM),11.45,,,,,
U/S NEAR LCT GHAT,11.4,,,,,
"CHHAPI DAM UPSTREAM , JHALAWAR, RAJASTHAN",11.4,,,,,
"BHIMA AT D/S OF BDG. NEAR YADGIR, KARNATAKA",11.4,,,,,
ARPA RIVER D/S OF BILASPUR,11.36666667,,,,,
RIVER TUNGABHADRA AT HONNALI BRIDGE,11.31666667,,,,,
"GODAVARI AT DHALEGAON, PATHARI, PARBHANI",11.3,,,,,
RIVER SDERKARIAH AT SOHRA (CHERRAPUNJEE),11.28333333,,,,,
"SONE RIVER AT BAHIYARA, BHOJPUR",11.25,,,,,
PARADEEP U/S (BEFORE INDUSTRIAL ACTIVITY AT PARADEEP),11.2,,,,,
YAMUNA AT ALLAHABAD D/S (BALUA GHAT),11.175,,,,,
"RIVER DIKRONG NEAR BRIDGE AT NH- 52, BANDARDEWA",11.15,,,,,
DHELA RIVER D/S AT THAKURDWARA ALIGANJ ROAD,11.06666667,,,,,
RIVER NAMBUL AT SAMUSANG (U.K. ROAD),11.05,,,,,
JHANJI AT N.H. CROSSING JORHAT,11.05,,,,,
"TONS AT MADHAVGARH, M.P.",11,,,,,
SWARG ASHRAM1,11,,,,,
"RIVER VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT, TAMILNADU",11,,,,,
"RIVER SINGUR DAM RESERVOIR, SANGAREDDY",11,,,,,
RIVER GUWARDI AT RESERVIOR UPSTREAM SIDE OF GUWARDI,11,,,,,
"MANJEERA RIVER AT D/S OF LATUR, NEAR LATUR- NANDED BRIDGE AT BHATKHEDA, LATUR.",11,,,,,
"DAMODAR AT DISHERGARH VILL.(NR.JHARKHANDWEST BENGAL BORDER) , BURDWAN,WEST BENGAL",11,,,,,
BHADRA AT MALLESWARAM,11,,,,,
JUMAR AT KANKE DAM,10.99,,,,,
"RIVER UJH AT DAM SITE(L.H.S.), KATHUA, JandK",10.95,,,,,
"CHAMBAL ENTERING IN RAJASTHAN AT GANDHI SAGAR DAM, KOTA, RAJASTHAN",10.95,,,,,
"SUBARNAREKHA AT RANCHI, (TATISILWAI) JHARKHAND",10.9,,,,,
"SATLUJ AT 100M D/S ,NANGAL",10.9,,,,,
"PAWANA RIVER AT RAVET WEIR, VILLAGE RAVET, TALUKA HAWELI, DISTRICT PUNE.",10.9,,,,,
BANGANGA AT D/S SHUKRATAL (BEFORE CONFLUENCE OF LAKSAR DRAIN ),10.875,,,,,
RIVER MANJEERA AT GOWDICHARLA B/C WITH NAKKAVAGU,10.86666667,,,,,
RIVER YAMUNA AT PONTA SAHIB,10.85,,,,,
"HASDEO AT U/S KORBA,CHHATISSGARH",10.825,,,,,
TUNGABHADRA AT HARIHAR WATER SUPPLY INTAKE,10.81666667,,,,,
"RIVER DARNA AT SANSARI , NASHIK, NASHIK",10.8,,,,,
ROURKELA FDS AT BIRITOLA,10.7875,,,,,
"GODAVARI RIVER AT DHALEGAON, VILLAGE DHALEGAON, TALUKA",10.75,,,,,
"BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN ,PUNJAB",10.75,,,,,
"BURHIDIHING AT MARGHERITA, ASSAM",10.725,,,,,
"SHEONATH AT JHINGHRI VILLAGE, A/C OF SAMODA NALLA,",10.7,,,,,
"BAKHTIYARPUR TAJPUR BRIDGE ON GANGA, ATHMALGOLA",10.7,,,,,
"RIVER BICHIA,GOVINDGARH ROAD BRIDGE ,NEAR INTAKE POINT,REWA",10.6,,,,,
"NARMADA AT MAHESHWAR,",10.6,,,,,
GODAVARI RIVER AT SAIKHEDA,10.6,,,,,
"BETWA NEAR ROAD BRIDGE, BHOJPUR",10.525,,,,,
RIVER NARMADA NEAR ROAD BRIDGE (D/S BARGI DAM) JABALPUR,10.51666667,,,,,
"SABARMATI AT VILL. MAROLI TALUKA DASCROI, AHMEDABAD, GUJARAT",10.5,,,,,
"MULA RIVER AT HARRISON BRIDGE NEAR MULAPAWANA SANGAM, VILLAGE BOPODI,TALUKA HAWELI, .",10.5,,,,,
"KSHIPRA AT TRIVENISANGAM (1 KM. D/S OF SANGAM), M.",10.5,,,,,
"BEAS AT G.T.ROAD UNDER BDG. NEAR KAPURTHALA, PUNJAB",10.5,,,,,
"PARVATI RIVER, GUNA",10.48333333,,,,,
GANGA RIVER AFTER CONFLUENCE OF RIVER SONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA,10.475,,,,,
PABBAR AT U/S ROHRU,10.46,,,,,
"SABARMATI AT GANDHI NAGAR CHILODA BRIDGE, LEKAWADA,",10.45,,,,,
RIVER KRISHNA AT ASANGI VILLAGE (JAMAKANDI VILLAGE),10.425,,,,,
RIVER MALEI AT JAORA,10.40714286,,,,,
"MALPRABHA AT D/S OF KHANAPUR VILLAGE, KARNATAKA",10.4,,,,,
DOWNSTREAM OF HASDEO RIVER NEAR URGA VILLAGE KORBA,10.3625,,,,,
"PURNA RIVER A/C OF MORNA, ANDURA VILLAGE, BALAPUR,",10.35,,,,,
GANDAK RIVER GOPALGANJ PIPRAKOTHI ROAD BRIDGE (DUM,10.3,,,,,
"CHURNI D/S OF RANAGHAT TOWN, WEST BENGAL",10.25,,,,,
SIRSA AT RUXOL,10.2375,,,,,
RIVER SONE AT ARWAL NEAR BALUGHAT (SAHAR),10.225,,,,,
"KRISHNA AFTER CONFL. WITH TUNGABHADRA, SANGAMESHWARAM A.P.",10.15,,,,,
MAHANADI AT NARSINGHPUR,10.14,,,,,
"KRISHNA RIVER AT KURUNDWAD NEAR SANTAJI GHORPADE GHAT , VILLAGE NARSHINGWADI, KURUNDWAD, TALUKA SHIROL, DISTRICT KOLHAPUR.",10.1,,,,,
AKRAVATHIR RIVER BEFORE CONFLUENCE AT SANGAM,10.1,,,,,
"DIBANG RIVER AT ROING,",10.08333333,,,,,
"NARMADA AT SARSWATIGHAT, AFTER MIXING WITH BAWANGANGA RIVER, JABALPUR",10.05,,,,,
"RIVER SUTLEJ AT 100 MT. D/S OF PACL, NANGAL",10,,,,,
"RIVER HARBORA AT NARKATIAGANJ, WEST CHAMPARAN",10,,,,,
"BHIMA RIVER BACKWATER OF UJANI DAM, NEAR RAW WATER PUMP HOUSE, VILLAGE KUMBARGAON, TALUKA INDAPUR, DISTRICT PUNE.",10,,,,,
POWER CHANNEL D/S NEAR BURLA,9.9625,,,,,
"RIVER BEAS AT PONG DAM ,PONG VILLAGE",9.95,,,,,
"KANHAN RIVER AT U/S OF M/S VIDARBHA PAPER MILLS, VILLAGE SINORA, TALUKA PARSEONI, DISTRICT NAGPUR.",9.95,,,,,
"NARMADA AT PANCHWATIGHAT, BEFORE MIXING WITH BAWANGANGA RIVER, JABALPUR",9.9375,,,,,
CAUVERY AT RANGANATHITTU,9.933333333,,,,,
"KATHAJODI AT CUTTACK D/S, ODISHA",9.925,,,,,
"U/S OF KALINGARAYAN CANAL (B5), ERODE, TAMILNADU",9.9,,,,,
"PEDHI RIVER NEAR ROAD BRIDGE AT DADHI PEDHI VILLAGE, VILLAGE DADHI PEDHI, TALUKA BHATKULI, DISTRICT AMRAVATI.",9.9,,,,,
PARVATI NEAR INTAKE POINT PILLUKHEDI DISTT. RAJG,9.9,,,,,
MAHANADI AT SAMBHALPUR FD/s AT HUMA,9.9,,,,,
BHIMA RIVER AT CONFLUENCE OF JEWARGI TOWN SEWAGE DISPOSAL POINT,9.875,,,,,
CHENAB AT L.H.S.(BELOW BRIDGE CHENAB),9.8625,,,,,
"WARDHA D/S OF ERAI HADASTI, CHANDRAPUR",9.8,,,,,
"GODAVARI RIVER AT TAPOVAN,VILLAGE TAPOVAN, TALUKA NASHIK, DISTRICT NASHIK.",9.8,,,,,
"ANAS AT DAHOD, (KUSHALGARH), DIST. PANCHMAHAL, GUJARAT",9.8,,,,,
RIVER LUKHA AT SONAPUR,9.75,,,,,
ANAS RIVER NEAR ROAD BRIDGE JHABUA,9.7375,,,,,
RIVER TUNGABHADRA AT ARAVI,9.683333333,,,,,
NARMADA AT BADWANI,9.675,,,,,
YAMUNA AT AGRA U/S,9.6,,,,,
"TUNGABHADRA AT HARIHAR WATER SUPPLY INTAKE, KARNAT",9.6,,,,,
"DARNA AT BHAGUR PUMPING STATION NEAR PANDHURLI BRIDGE, BHAGUR, NASHIK",9.6,,,,,
"DHENKANAL D/S, DHENKANAL TOWN",9.5875,,,,,
"GANGA AT RISHIKESH U/S, U.P",9.575,,,,,
RIVER TUNGABHADRA AT JACKWELL POINT,9.55,,,,,
"MAHI AT VIRPUR, GUJARAT",9.55,,,,,
"KRISHNA RIVER AT KRISHNA BRIDGE, ( KRISHNA RIVER AT NH4 BRIDGE ) VILLAGE KARAD, TALUKA KARAD, DISTRICT SATARA.",9.55,,,,,
"KRISHNA AT KURUNDWAD IN KOLHAPUR,MAHARASHTRA",9.55,,,,,
"KRISHNA RIVER AT WALWA, D/S OF ISLAMPUR NEAR VITHAL TEMPLE, VILLAGE WALWA, TALUKA WALWA, DISTRICT SANGLI.",9.5,,,,,
"CHENAB, CHADRA GAON VIEW POINT",9.5,,,,,
NARMADA AT NARSINGHPUR,9.483333333,,,,,
TAPI AT NEPANAGAR M.P.,9.45,,,,,
RAMGANGA AT D/S KALAGARH DAM (U.K.),9.45,,,,,
"MUSI U/S AT GANDIPET, OSMANSAGAR LAKE, HYDERABAD",9.4,,,,,
"CHENAB AT BLIND CURVE SHAMSHAN GHAT (1.5 KM U/S FROM SPOT),JandK",9.4,,,,,
"RIVER TAPI NEAR BARDOLI (KAPP BRIDGE) BARDOLIKAKRAPAR,SURAT",9.375,,,,,
"RIVER DEVAK AT UTTERBEHNI, JandK",9.35,,,,,
MAHANADI AT CUTTACK FD/S AT GATIRAUTAPATNA,9.35,,,,,
"SUBARNAREKHA AT RANCHI, (TATISILWAI)",9.3375,,,,,
"NANDOUR RIVER D/S SITARGANJ INDUSTRIAL AREA, Us NAGAR",9.325,,,,,
"R.JOHILA NEAR NAROJABAD NEAR UMARIA ROAD BRIDGE, M",9.3,,,,,
"DISANG AT DILLIGHAT, DIBRUGARH DIST",9.3,,,,,
"BAITARNI AT CHANDBALI, ORISSA",9.3,,,,,
"GANGA AT SERAMPORE, WEST BENGAL",9.275,,,,,
"RIVER TAPI AT ONGC BRIDGE AT SURAT, DIST. SURAT",9.25,,,,,
RIVER BEAS D/S MANDI TOWN,9.25,,,,,
"PAWNA RIVER AT DAPODI BRIDGE, AT PAWANA- MULLA SANGAM,PUNE.",9.25,,,,,
"KOEL AT BASIA, DAM U/S, JHARKHAND",9.25,,,,,
"DHANSIRI AT TOWN BOUNDARY BRIDGE (DIPHU ROAD), NAGALAND",9.25,,,,,
"GHAGHARA NEAR CHAPRA, BIHAR",9.233333333,,,,,
"TUNGABHADRA AT U/S OF HPF,",9.225,,,,,
"RIVER KAGINA AT D/S OF BRIDGE CUM BARRAGE, SADEM",9.225,,,,,
"SUTLEJ AT NEPTHA ZAKHAI, H.P",9.2,,,,,
"KRISHNA RIVER AT MAIGHAT, VILLAGE GAWALI GALLY, TALUKA MIRAJ, DISTRICT SANGLI.",9.2,,,,,
"SWAN AT D/S NANGAL DISTT. UNA, H.P.",9.175,,,,,
"PURNA RIVER NEAR ACHALPURAMRAVATI ROAD BRIDGE, ASEGAON, CHANDUR BAZAR, AMRAVATI",9.175,,,,,
KONAR AT TILAYA DAM,9.166666667,,,,,
"BRAHMANI AT PATTAMUNDAI, ODISHA",9.125,,,,,
RIVER TAPTI AT NEPA NAGAR 100 METRE D/S AFTER MIXING PANDHAR NALLA,9.1,,,,,
RIVER MAHA NEAR KOMLATHABI BAZAR,9.1,,,,,
"RIVER CAUVERY AT TRICHY, GRAND ANAICUT, TAMILNADU",9.1,,,,,
"PAGLDIA RIVER NEAR NALBARI TOWN, DIST. NALBARI, AS",9.1,,,,,
KABBANI AT CAUSE WAY SATTUR,9.1,,,,,
"BHADRA AT D/S OF KIOCL ROAD BRIDGE, NEAR HOLEHUNNU",9.1,,,,,
"RIVER SIRSIYA AT RAXAUL,BIRGANJ CHECK POST ROAD BRIDGE EAST CHAMPARAN",9.05,,,,,
"RIVER NARMADA AT ZANOR (NTPC), BHARUCH",9.05,,,,,
"KOLAR RIVER BEFORE CONFLUENCE WITH KANHAN RIVER AT WAREGAON BRIDGE, VILLAGE WAREGAON, TALUKAKAMPTEE, DISTRICTNAGPUR.",9.05,,,,,
"HIWARA RIVER, D/S OF PACHORA., JALGAON",9.05,,,,,
"GODAVARI AT RAMAGUNDAM D/S, NEAR FCI INTAKE WELL, KARIMNAGAR",9.05,,,,,
"SATLUJ AT NEPTHA ZAKHAI, H.P",9.025,,,,,
RIVER UMNGI AT UMPUNG,9,,,,,
"RIVER MAHI AT SINDHORT WEIR,GUJARAT",9,,,,,
"RIVER MAHANADI AT RAJIM,NEAR ROAD BRIDGE.",9,,,,,
"RIVER GHAGHARA NEAR CHAPRA, RIBILGANJ, SARAN",9,,,,,
"KALINADI AT U/S OF GULAOTHI TOWN IN BULANDSAHAR, U.P.",9,,,,,
"RIVER NARMADA NEAR MORTAKKA BRIDGE, BADWAH",8.971428571,,,,,
"KUAKHAI AT BHUBANESWAR U/S, ODISHA",8.95,,,,,
"GODAVARI RIVER AT D/S OF PAITHAN AT PATHEGAON BRIDGE, PATHEGAON, PAITHAN, AURANGABAD",8.95,,,,,
DHELA RIVER U/S AT KASHIPUR MORADABAD ROAD BRIDGE,8.95,,,,,
"MAHANADI AT SAMBALPUR D/S, ODISHA",8.925,,,,,
"GIRNA AT MALEGAON (MANMAD), MAHARASHTRA",8.925,,,,,
"RIVER UMKHRAH AT DEMTHRING, SHILLONG",8.9,,,,,
"PAWANA RIVER AT KASARWADI, HAWELI, PUNE.",8.9,,,,,
"MAHANADI AT PARADEEPD/S, ODISHA",8.9,,,,,
"BURHI GANDAK AT AKHARAGHAT, MUZAFFARPUR, BIHAR",8.9,,,,,
ARKAVATHI AT T.G. HALLI RESERVOIR,8.9,,,,,
"CAUVERY AT VAIRAPALAYAM, NAMAKAL",8.875,,,,,
"YAMUNA AT JUHIKA B/C WITH CHANBAL, ETAWAH, U.P",8.825,,,,,
"BHIMA RIVER AT DAUND NEAR MAHADEV TEMPLE,VILLAGE",8.8,,,,,
"ARKAVATHI AT HESARAGHATTA RESERVOIR, KARNATAKA",8.8,,,,,
U/S OF TARAPITH ON RIVER DWARKA AT SADHAK BAMDEB GHAT,8.766666667,,,,,
"PENGANGA RIVER D/S OF ISAPUR DAM, ISAPUR, PUSAD,",8.75,,,,,
"MAHI AFTER CONF. WITH ANAS AT PARDI (BANASWADA), G",8.75,,,,,
"GODAVARI RIVER AT U/S OF AURANGABAD RESERVOIR,KAIGAON TOKKA NEAR KAIGAON BRIDGE,VILLAGE KAIGAON,TALUKA GANGAPUR,DISTRICT AURANGABAD.",8.75,,,,,
DZUNA RU IN KOHIMA,8.75,,,,,
